subject_id,group,session_id,threshold_type,slope_per_run_within_session,intercept,n_runs,first_run,last_run
e33,control,3,distractor,0.0070833333333333295,0.3762499999999998,8,1,8
e33,control,3,no_distractor,-0.002023809523809535,0.23785714285714282,8,1,8
e33,control,4,distractor,-0.007500000000000008,0.37375,8,1,8
e33,control,4,no_distractor,0.007142857142857158,0.2178571428571427,8,1,8
e33,control,5,distractor,0.009,0.3343333333333335,6,1,6
e33,control,5,no_distractor,-0.025714285714285703,0.31,6,1,6
e36,control,1,distractor,0.019714285714285733,0.191,6,1,6
e36,control,1,no_distractor,0.036285714285714296,0.16800000000000012,6,1,6
e36,control,2,distractor,0.012916666666666668,0.27374999999999994,8,1,8
e36,control,2,no_distractor,0.010595238095238116,0.39857142857142835,8,1,8
e36,control,3,distractor,0.005892857142857145,0.3816071428571428,8,1,8
e36,control,3,no_distractor,-0.01083333333333332,0.4649999999999999,8,1,8
e36,control,4,distractor,-0.01196428571428573,0.4469642857142857,8,1,8
e36,control,4,no_distractor,0.0113095238095238,0.3928571428571428,8,1,8
e36,control,5,distractor,-1.1638299620940968e-17,0.3650000000000002,6,1,6
e36,control,5,no_distractor,-0.027142857142857146,0.5533333333333332,6,1,6
e37,control,1,distractor,-0.017142857142857147,0.22666666666666666,6,1,6
e37,control,1,no_distractor,0.011428571428571442,0.19333333333333336,6,1,6
e37,control,2,distractor,0.0049404761904762,0.15214285714285714,8,1,8
e37,control,2,no_distractor,-0.008928571428571432,0.25892857142857145,8,1,8
e37,control,3,distractor,0.00785714285714286,0.17089285714285712,8,1,8
e37,control,3,no_distractor,0.0111904761904762,0.0821428571428571,8,1,8
e37,control,4,distractor,-0.0024999999999999922,0.24249999999999994,8,1,8
e37,control,4,no_distractor,0.002857142857142856,0.17214285714285713,8,1,8
e37,control,5,distractor,0.004571428571428575,0.1906666666666667,6,1,6
e37,control,5,no_distractor,1.1638299620940968e-17,0.18999999999999992,6,1,6
e38,experimental,1,distractor,0.02885714285714286,0.16733333333333347,6,1,6
e38,experimental,1,no_distractor,0.010000000000000026,0.19666666666666663,6,1,6
e38,experimental,2,distractor,0.004047619047619039,0.3580357142857144,8,1,8
e38,experimental,2,no_distractor,-0.015238095238095247,0.2835714285714286,8,1,8
e38,experimental,3,distractor,-0.007619047619047623,0.3842857142857143,8,1,8
e38,experimental,3,no_distractor,-0.006309523809523796,0.20964285714285702,8,1,8
e38,experimental,4,distractor,0.009583333333333348,0.2999999999999998,8,1,8
e38,experimental,4,no_distractor,0.019047619047619053,0.1617857142857143,8,1,8
e38,experimental,5,distractor,-0.0049999999999999845,0.3466666666666666,6,1,6
e38,experimental,5,no_distractor,0.020285714285714268,0.2506666666666668,6,1,6
e39,experimental,1,distractor,0.019000000000000003,0.18600000000000008,6,1,6
e39,experimental,1,no_distractor,0.007142857142857151,0.21666666666666673,6,1,6
e39,experimental,2,distractor,-0.00011904761904761535,0.3367857142857143,8,1,8
e39,experimental,2,no_distractor,0.00880952380952382,0.24785714285714283,8,1,8
e39,experimental,3,distractor,-0.0033333333333333388,0.31625000000000003,8,1,8
e39,experimental,3,no_distractor,0.004523809523809516,0.31214285714285706,8,1,8
e39,experimental,4,distractor,0.011488095238095236,0.30267857142857135,8,1,8
e39,experimental,4,no_distractor,0.006666666666666681,0.3599999999999999,8,1,8
e39,experimental,5,distractor,-0.00542857142857143,0.3956666666666668,6,1,6
